Tweet Text;Tweet Datetime;Tweet Id;Twitter @ Name;Tweet Coordinates;Place Info;Retweets;Favorites;Language;Source;Replied Tweet Id;Replied Tweet User Id Str;Quote Status Bool
RT ecotalvora diplomacia chavista canciller d Maduro introduce a sus empleados a palacio presidencial en LaPaz Bolivia para gritarl;10/11/2020 04:06;1.32601E+18;quintanaoscar;;;12;0;es;Twitter for iPhone;;;False
RT Autoextragti Ya se present en Corea y hace su aparicin oficial en EEUU Ojal pronto la cuarta generacin de la Hyundai Tucson lleg;10/11/2020 04:06;1.32601E+18;AlejoTorres911;;;3;0;es;Twitter for Android;;;False
RT maomontenegro juanabad1985 Areametropol Porquera Humanas ubiquen culpables para generar justiciaMnimo merecen silla elctrica C;10/11/2020 04:06;1.32601E+18;DOGGY1959;;;2;0;es;Twitter for Android;;;False
RT ChalecosAmarill En Colombia Bueno ya lo dijo abiertamente el SubPresidente Ivn Duque Matarife;10/11/2020 04:05;1.32601E+18;kelly1689286392;;;62;0;es;Twitter Web App;;;False
RT ChalecosAmarill En Bolivia ayer para el NARCODICTADOR de Colombia no fue un gran da La misma suerte que tu Mentor el Matarif;10/11/2020 04:04;1.32601E+18;IVANGLOCK;;;155;0;es;Twitter for Android;;;False
RT CarlosZambrano7 ULTIMAHORAA todos los comunistas que viven y se quejan de EEUU Espaa UE Colombia Chile cambio mi casa y mi sue;10/11/2020 04:03;1.32601E+18;SallyDavila2;;;458;0;es;Twitter for iPhone;;;False
Los jugadores que militan en Europa llegaron a Barranquilla de cara al partido del viernes contra Colombia por;10/11/2020 04:03;1.32601E+18;VQV_Futbol;;;0;0;es;Twitter Web App;;;True
Dnde se irn a meter Petro Bobolivar JuHampaSantos MartinSantos PiedadCordoba SanchezCristo y todo Progress;10/11/2020 04:02;1.32601E+18;ramirez_toyo;;;0;0;es;Twitter for Android;;;False
RT carlossielop angelamrobledo Ojal salga de la crcel est injustamente privado de la libertad En cambio hay varios de los buenos cr;10/11/2020 04:02;1.32601E+18;Idea92305273;;;1;0;es;Twitter for iPhone;;;False
RT MoVidaCol En Colombia el MinDefensa CarlosHolmesTru an nos debe explicaciones por el asesinato de 14 personas a manos de agentes de;10/11/2020 04:02;1.32601E+18;CmarcaFederal;;;50;0;es;Twitter for Android;;;False
RT MoVidaCol En Colombia el MinDefensa CarlosHolmesTru an nos debe explicaciones por el asesinato de 14 personas a manos de agentes de;10/11/2020 04:01;1.32601E+18;BLigiaHdez;;;50;0;es;Twitter Web App;;;False
Diganme que si Enamoraditos auracristinageithner lapotradelabanda actresslife;10/11/2020 04:00;1.32601E+18;crissgeithner;;;6;102;es;Twitter for Android;;;False
Ponte tus lentes mgicos de la felicidad pinta tu futuro de los colores del bienestar y notars que el sinsabor de;10/11/2020 04:00;1.32601E+18;miguelarroyavev;;;0;0;es;Twitter for iPhone;;;False
La Red de Centros Sociales de la CPAL te invita al Anlisis mensual de la realidad de Amrica Latina y El Caribe;10/11/2020 04:00;1.32601E+18;RCS_CPAL;;;0;0;es;Hootsuite Inc.;;;False
Internacional Armenia y Azerbaiyan firman acuerdo para poner fin a la guerra DiarioDeChiapas;10/11/2020 04:00;1.32601E+18;DiarioChiapas;;;0;0;es;TweetDeck;;;False
LoMsVistoEnRedes Colombia Mujer Nia LadronesEl evento sucedi en Colombia y muestra cmo la mujer confronta;10/11/2020 04:00;1.32601E+18;TVPLosMochis;;;0;0;es;TweetDeck;;;False
RT ElPitazoTV Colombia Conoce quin es la empresaria bogotana de 47 aos de edad que aparece en negocios de lex Saab presunto testaf;10/11/2020 03:59;1.32601E+18;nohpa2009;;;13;0;es;Twitter Web App;;;False
RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e;10/11/2020 03:59;1.32601E+18;Brihan_Ale;;;37;0;es;Twitter for iPhone;;;False
Paramilitares en Colombia amenazan la libertad de libre circulacin de las comunidades indgenas embera ddhh;10/11/2020 03:59;1.32601E+18;Aso_Katio;;;0;0;es;Twitter for Android;;;True
RT FabioASays Excelente la conversacion con la senadora PaolaHolguin una grande del Uribismo en Colombia gracias senadora 3324 pers;10/11/2020 03:59;1.32601E+18;MaHelenaO;;;7;0;es;Twitter for Android;;;False
RT PaisajeCol Nia Kogi de la Sierra Nevada de Santa MartaColombia;10/11/2020 03:58;1.32601E+18;almenmila;;;31;0;es;Twitter Web App;;;False
RT camiloaristy6 bettycriticonaa ElPatriota El narcotrafico el peor mal d Colombia d ah se alimenta las guerrillas y la poltica;10/11/2020 03:58;1.32601E+18;fcosalda;;;3;0;es;Twitter for iPhone;;;False
Diganme que si Enamoraditos auracristinageithner lapotradelabanda actresslife;10/11/2020 03:58;1.32601E+18;crissgeithner;;;0;15;es;Twitter for Android;;;False
